"","Plant_type","Treatment","Phthalate_C18P","Chorismate_C18P","Maleic_C18N","Acetate_HILN","Nicotinate_C18N","Malate_C18N","Mugineate_C18N","Valarate_C18N","Tartarate_C18P","Exud_47_C18P","Ferulate_C18P","Exud_5_C18P","Maleic_C18P","Glutarate_C18N","Asparate_C18N","Butyrate_C18N","Glutamate_C18N","Shikimate_C18POS","Coumarate_C18N","Succinate_C18N","Chorismate_C18N","Exud_27_HILN","Exud_39_C18N","Succinate_C18P","Exud_4_C18P","Glutarate_C18P","Salicylate_C18P","Gallate_C18N","Palmitate_C18P","Exud_11_C18P","Exud_16_C18P","Exud_38_C18P","Malonate_C18N","Exud_30_C18P","Exud_49_C18P","Salicylate_HILN","Benzoate_HILN","Glyoxalate_HILN","Pyruvate_C18N"
"X36C1","ptxDNt-36","Pi",1509672000,3309958000,1109892000,3946322,1512223000,351458500,2937491000,1640937000,1058814,264547600,33634860,23525340,4134341,81413450,800874600,11541790000,3714410000,496376400,358403700,629716700,1538639000,2612661000,40208550,75281680,2108480000,98416810,64269030,461873400,101336300,180520800,291832500,9391867,575593.3,401056700,27316020,202478400,45008480,612358000,612358000
"X36C2","ptxDNt-36","Pi",958855800,2288704000,1441179000,7755175,1707445000,293183400,2887176000,1177386000,505787.6,194313700,15631990,13637700,4671067,96995970,934605800,12758550000,4251482000,315947000,426537200,684703900,1925153000,2662732000,8644647,54610840,3009354000,187611200,73712410,353480300,121554300,112007100,332135100,7965029,622785.6,217244100,21830920,1337970000,69447460,15462390000,15462390000
"X36C3","ptxDNt-36","Pi",1161328000,2866660000,778605800,17378810,1317001000,409733600,2987806000,2104489000,488193.4,300150000,44710840,57856240,4509747,65830940,667143400,10325040000,3177338000,681518300,290270100,574729400,1152125000,5092540000,31583530,73510310,3252649000,109940000,92376420,570266600,119799600,142234200,244413800,13806030,528400.9,497374900,39639690,326395000,39131890,6453062000,6453062000
"X36LP1","ptxDNt-36","Low P",4006606000,6683182000,5542646000,47025990,3826959000,1086888000,11261190000,4897801000,4409716,348494300,6288570,67383530,7446743,165337200,1935545000,28997030000,8307218000,484271900,1195767000,2407995000,3229438000,635166300,52339870,105609600,2851404000,142155100,189810800,1921718000,253703100,215386500,604436800,16721850,1578885,285726100,35647410,1729482000,156985000,43262850000,43262850000
"X36LP2","ptxDNt-36","Low P",2720291000,6732313000,1051561000,37082900,1746453000,260170000,2794636000,667386300,3239805,264820500,11988110,70512760,5481743,147855800,1007672000,11103490000,4494441000,384989900,344584300,686925800,3296358000,1033834000,37257400,102673700,3316125000,184030300,136184300,607565900,306176500,209513500,355179400,8553468,1035975,165649200,31458800,1507910000,155824500,1.07e+11,1.07e+11
"X36LP3","ptxDNt-36","Low P",4162096239,12775834915,2633632766,118846766,3522841637,711164672,5832339044,1825476513,3226806,661584464,4333193,120392200,7180616,280187547,2707873214,35921555238,11099000170,474561124,854123053,1350962202,9861854882,934922169,43406760,198106345,5090445422,277493682,298818320,3208886668,361434930,252727511,1028842049,28291680,2875833,382150247,46716360,7461802754,332793734,91429757919,91429757919
"X36PHI1","ptxDNt-36","Phi",1116486000,3672578000,524226100,24907180,597623000,150362800,1423733000,428285700,502134.3,268772100,21436390,24886280,5372117,29045660,444373500,5541541000,1840617000,370358200,238468500,298048300,2082314000,2760062000,17031260,100871100,2933378000,82995970,75535970,724912700,138971600,125625000,435229600,9268581,667814.5,270592500,29826380,977930000,139638700,88771600000,87676480000
"X36PHI2","ptxDNt-36","Phi",1166200000,2505744000,1254044000,1171528,1517725000,291774700,3321827000,874290200,649503.1,201132200,18142260,18631410,3911004,97794290,609021900,10264350000,3254192000,578493300,485623900,785975600,1784293000,1556230000,23752500,63501530,1229862000,76409850,100325300,773586100,117956600,182442300,393642400,7766629,607461,331207000,27703170,1063009,1362282,29975940,32043670
"X36PHI3","ptxDNt-36","Phi",1214569000,2918294000,1776745000,2473607,2543945000,273072400,2395981000,1066581000,508414.7,267602200,57981070,21009640,5127228,312786400,534206400,8832121000,2352534000,314004500,391042800,802373200,1977958000,4656376000,12482220,96306200,4002327000,85878840,96112280,416347900,192957400,476940200,448894200,13948970,651543.3,430988300,34093590,1424597,1923639,138258600,146807000
"X36PM1","ptxDNt-36","Pi/Phi mix",703348800,1162861000,1079502000,1245502,891622000,307607300,2686308000,886298000,789799.2,203932400,23644690,12750930,3094043,48376460,607217400,10059200000,2249496000,367399800,383483600,509273000,910485500,4260896000,6545776,75482700,1679334000,74309580,52439760,563744400,69177110,118975600,266518400,7977132,371631.5,394774300,21605130,845795.8,1104801,24120050,25836740
"X36PM2","ptxDNt-36","Pi/Phi mix",1087364000,540853600,1039215000,21037860,848536900,364518100,1446935000,1411152000,614732.5,167906500,18149520,13449790,2705175,67546210,616764500,5256682000,2525994000,211212500,351087800,681531400,661100600,4815071000,5679299,68739850,2852515000,57271120,39875840,198774500,76772580,73510480,248113600,3706349,558631.1,187992900,19955980,369699200,42547910,6535084000,6535084000
"X36PM3","ptxDNt-36","Pi/Phi mix",270119200,324357100,891972600,11290380,659855400,221325700,1414463000,837921600,156182.3,117289900,14602480,6980820,1347519,36114670,302827700,7131776000,1796860000,179324000,174486100,357809800,342602800,3668001000,4626138,37701930,2376460000,21408280,39089340,236048900,43602640,38503410,135819300,2105263,189011.2,163140800,6743055,147878100,23380130,3636974000,3636974000
"NPC","Bulk Soil","Pi",21956310,2754720,22813770,698793.9,35055920,5198273,76195660,15499010,24905.28,5621.118,10862.67,12081810,25173.43,1879974,15777420,215897600,65504690,470451.1,5952952,12448100,40000180,81606.9,33861.47,832736,239475.7,914079,1229936,26654290,3293717,9648.009,7735090,3491.016,1095635,11472.08,7034.05,8353344,1825264,11350900,11728700
"NPLP","Bulk Soil","Low P",57317210,426232.7,30909440,100878.4,38597540,6351564,45663380,20440590,33179.29,6226.706,22834.21,3382982,56284.04,3398161,18585990,248701800,77525970,642327.7,7593215,16351890,46779640,23119.44,54645.16,836121.8,285027.6,642656.7,757581.8,7268014,5755477,14547.98,4924454,3128.827,13088.75,12789.54,5533.054,1166263,507413.1,110340300,110340300
"NPPHI","Bulk Soil","Phi",26005540,1657678,13307770,129475.2,21165420,3476828,42640100,8431686,17340.72,6061.984,15534.66,8168004,23577.77,838369.5,16783120,205595400,55914600,305240,3910853,8223646,36622960,50094.41,34256.01,645470.3,520135.3,835961.9,795783.4,12110890,2254573,11623.42,4505603,3887.434,12341.83,12174.47,7078.576,9382745,455119.5,91917000,91917000
"NPPM","Bulk Soil","Pi/Phi mix",22397730,1332290,27898480,188698.9,25049360,6047963,95396720,20056880,22964.34,4338.966,4033.827,11244380,29625.8,1544471,13769260,227552700,52767990,235063.4,12472210,17284320,45474420,45648.55,32514.75,449605.1,100972.3,515695.2,1078902,22329010,3724103,10568.04,5709610,2530.519,15529.35,12546.8,4984.687,7585797,1114630,179993100,179993100
"WTC1","Wild Type","Pi",689793200,3404398000,616868300,11951690,1113866000,153649700,1382617000,448133100,427042.2,245329500,32438940,25691140,3723731,79572200,874789500,8781622000,3502511000,546586100,269537000,472780700,2418627000,2370116000,22287700,61743890,2145259000,88491330,48443070,541220400,101501900,149848900,562091300,10031680,674000.1,419953400,25856190,634590700,66126620,5833488000,9222029000
"WTC2","Wild Type","Pi",1574293000,5135120000,898254200,7123329,1205294000,294469300,1703119000,578874200,1101699,269901300,10853580,22785730,2197725,85830750,1087912000,13114580000,4476044000,417225200,365835300,483374500,3622870000,1268308000,22881010,84756350,3233163000,120608200,86315990,868483500,366430800,134535700,606278600,14211820,1058830,288188300,26512490,368430100,68381440,1125240000,1118738000
"WTC3","Wild Type","Pi",996247700,5155295000,293087500,26123100,509144400,144415500,1502299000,311978200,2786879,412879000,31855530,23494110,6764787,27760020,377095800,3188059000,1927614000,401570500,182281800,330042100,1832280000,2484266000,22797290,92198500,4073964000,109117800,83885710,810319400,181743600,173277300,197915000,20270640,876368.6,529823000,43376320,1123132000,95649180,20908330000,20803240000
"WTLP1","Wild Type","Low P",4522278785,9391499465,2212327218,49894243,1910121325,568740251,2528894021,705258757,1000552,401695103,8470116,85039000,4954957,146150075,1281024088,10346814927,4553624331,629351951,301795406,816500472,3356201569,2101993771,61466872,135904685,3634088449,218289046,155324236,561665098,241191019,394212066,1151079633,17823493,1338038,458513435,42176779,1760550663,192188984,1.22e+11,1.23e+11
"WTLP2","Wild Type","Low P",3882199192,6462949177,2377524547,35928211,2250895106,660735175,7551363378,2584832685,3714598,633588887,15448429,61932755,6311542,95822129,2156294595,23486675886,5891909079,583547636,373784753,1113641447,4567713208,1272197606,25088838,170641322,4187136989,214375791,149875766,1377594626,438823086,290404934,739420191,18500345,1861680,308781198,34725208,1611143716,172204095,43468610740,43300345504
"WTLP3","Wild Type","Low P",5838900279,13868735458,4220839081,43098129,4227392554,1343530828,7456895736,2131148198,10142299,543512292,5793902,120374473,11627019,225660815,3814224318,29876941831,14830837651,527667662,959704755,2511282453,5244932515,1657474549,19801220,277396612,5375625899,408475165,294515814,2563864975,857563602,622751494,2148387933,30021326,4365931,698676816,25069172,1949507354,250451575,5405376217,5469694837
"WTPM1","Wild Type","Pi/Phi mix",2725741217,8763285210,5072721345,24993781,5977419031,1037204759,9934164475,4188206663,6942832,433904124,19937721,361995911,14722029,337095989,3161571557,44728064045,14671914038,1212774245,1504609393,2411653526,6733378009,1745327237,18086945,209126235,4542127560,203755849,144841189,4334677506,384148774,407607638,1099369281,24619773,14150279,781237884,58866265,1329495138,88913762,20174647289,20128086891
"WTPM2","Wild Type","Pi/Phi mix",4098856000,6937994000,2566098000,2742.885,4358970000,1373354000,9789050000,6901077000,4857195,212470300,28365880,98222270,7095258,220851700,2178417000,34177450000,10558030000,705695700,963266700,1903477000,3785857000,2454999000,10738710,157095900,5795904000,272986600,154799700,1909374000,463643900,283959300,1074423000,19991390,2341497,596082900,36444830,4013.945,3956.131,1356.364,1744.891
