Plant_type,Treatment,Sulfate reducer,Ammonia oxidizer,Nitrite reducer,Sulfide oxidizer,Dehalogenation,Nitrogen fixation,Atrazine metabolism,Chlorophenol degrading,Streptomycin producer,Xylan degrader,Sulfur metabolizing,Chitin degradation,Degrades aromatic hydrocarbons,Sulfur oxidizer,Carbon fixation,Lignin degrader,Stores polyhydroxybutyrate,Gramicidin producer,Sulfur reducer,Propionate metabolism,Carbon monoxide oxidizer,Sugars fermentor,Biomass degrader,Dinitrogen-fixing,Naphthalene degrading
ptxDNt-36,Pi,47954,52693,38961,38174,37530,25601,16390,5435,5249,4450,3336,7289,4223,798,788,478,329,42,38,14,15,11,21,3,2
ptxDNt-36,Pi,41564,47890,35269,35512,34982,20971,11662,7064,7128,4658,3172,7347,4168,838,682,379,369,36,35,12,6,9,22,3,0
ptxDNt-36,Pi,57119,61600,49428,49903,50148,36335,26306,6159,6366,4909,3398,7489,4032,747,790,457,396,53,11,23,4,15,11,8,1
ptxDNt-36,Low P,51650,56660,43838,43339,43666,30597,21464,6007,5445,4028,3701,7779,3808,679,1050,471,268,46,16,47,0,12,6,35,0
ptxDNt-36,Low P,51804,57354,44406,43905,43240,31327,22131,5948,5301,3876,3536,7112,3845,679,998,496,334,29,23,9,8,4,16,5,2
ptxDNt-36,Low P,52180,56514,43773,42572,42990,31127,21582,5291,5070,4467,3629,7593,4107,669,963,528,357,28,19,16,16,13,13,5,3
ptxDNt-36,Phi,58423,62003,48513,47800,47919,34282,24600,5841,5952,5521,4058,9020,4536,823,1079,648,355,59,12,19,0,15,5,4,2
ptxDNt-36,Phi,49896,53625,43090,42168,42332,30449,22538,5124,4513,3566,3089,6895,3745,616,971,439,162,27,43,8,8,4,10,7,1
ptxDNt-36,Phi,43634,51840,41207,37803,39851,28627,18411,4879,4474,3625,2889,6512,3367,770,899,385,195,35,24,21,4,16,8,7,0
ptxDNt-36,Pi/Phi mix,58515,62341,48749,46652,46343,32447,23029,5670,5087,4990,3613,8157,4923,798,1178,505,210,68,20,12,11,8,5,7,3
ptxDNt-36,Pi/Phi mix,59290,62468,49319,46934,46482,34203,24756,5151,4740,4926,3226,7638,4766,736,1099,452,200,42,27,17,15,14,8,3,1
ptxDNt-36,Pi/Phi mix,52014,55770,45189,43235,43531,32203,24058,4699,4481,4071,3496,7622,4201,540,960,399,225,46,18,9,5,9,2,0,0
Wild Type,Pi,55495,60174,46487,44112,43673,30414,20246,5920,5190,5086,3597,8279,5097,1038,1093,531,273,40,43,23,12,12,8,11,2
Wild Type,Pi,50180,55496,40928,39041,39049,24349,14163,6585,6265,5077,3243,8035,5145,897,850,572,254,60,16,9,16,7,25,4,4
Wild Type,Pi,45975,49622,38606,38235,37355,25165,17092,4967,5153,4412,3310,8138,3874,597,869,467,203,47,19,9,5,6,2,3,3
Wild Type,Low P,49344,53643,42409,43120,43022,29615,22578,5474,5296,3834,2763,7651,3182,455,944,426,163,51,10,10,6,6,9,4,3
Wild Type,Low P,47353,52790,40467,41037,40534,28164,20952,5494,5162,3778,3003,7416,3241,504,1016,392,175,32,19,12,6,9,18,3,0
Wild Type,Low P,60078,65549,50935,50856,51333,36152,26982,6447,6035,4665,3721,8972,4324,621,1208,478,267,52,18,14,12,9,8,5,3
Wild Type,Pi/Phi mix,58530,62932,49651,49720,49351,35797,27754,5816,5663,4424,3185,8193,3971,602,973,515,265,49,7,9,16,5,4,4,3
Wild Type,Pi/Phi mix,50492,54028,44452,44428,44500,31485,25056,4604,4165,2977,2125,7833,2977,444,812,323,143,27,31,15,4,12,11,3,0
Wild Type,Pi/Phi mix,41941,49007,39660,38206,39513,26758,19036,4637,4297,2900,2354,7746,2624,526,902,301,133,42,9,12,6,12,0,0,0
Bulk Soil,Pi,52630,56015,45108,44363,44925,32774,25621,4802,4526,3780,2484,6550,3684,526,826,374,174,43,14,5,9,3,6,2,2
Bulk Soil,Low P,57122,60703,48713,47265,47194,34537,26513,4939,4652,4204,2717,7367,4335,580,933,363,178,49,29,5,11,5,4,0,5
Bulk Soil,Phi,57503,60816,50205,49184,49552,37777,30806,4471,4301,3681,2619,7563,3541,414,801,374,148,52,11,4,4,4,0,0,4
Bulk Soil,Pi/Phi mix,47614,51877,40933,39796,39691,27578,20223,4943,4417,3734,2644,7170,3779,618,892,397,188,23,25,32,10,10,10,22,0
