DistEFlag,Water.1970s,Water.2010s,Thaw.1970s,Thaw.2010s
0,0,0,31.6667,34
2,5,0.6667,28,40
4,13.5,2,26.6667,43.6667
6,8.5,8.3333,30,35.6667
8,2.5,7.3333,31.3333,33.3333
10,5,3,31.3333,36.3333
12,4,1,30,35.3333
14,2.5,4.6667,27.6667,40.3333
16,0,9.6667,27,41
18,0,7.6667,26.6667,47.3333
20,0,8.6667,29.3333,45.6667
22,5,8.6667,37.3333,45
24,11.5,9.3333,41,40.3333
26,17,30,38.6667,44.6667
28,21.5,27.6667,42.3333,46.6667
30,22,29.3333,35,46
32,23.5,30.3333,30.6667,45
34,23.5,24,29.3333,43
36,22,16.3333,28,38.3333
38,13,15,29,34.6667
40,9,0.6667,26.6667,46.6667
42,0,0,28.5,64
