Era,SRP,Phyto,DOC1
1970s,4,,
1970s,0.9,3.1,
1970s,1.8,0.8,
1970s,3.8,1.4,
1970s,1.3,1,
1970s,3.4,,
1970s,,,
1970s,2.6,,
1970s,0.4,1.2,
1970s,7.6,,
1970s,1.2,0.348,
1970s,1.1,,
1970s,0.6,0.488,
1970s,1,0.375,
1970s,4.8,,
1970s,,,
1970s,,,
1970s,,2.574,
1970s,3.6,4.28,
1970s,2.5,,
1970s,2.4,1.151,11.09
1970s,1.3,0.633,9.28
1970s,5.2,0.966,
1970s,1.1,0.858,9.89
1970s,0.8,1.112,
1970s,1.2,0.781,
1970s,1.5,,
1970s,1,0.652,11.5
1970s,1.2,0.767,10.4
1970s,1.2,0.986,8
1970s,1.2,0.978,
1970s,1.3,,
1970s,2.1,0.59,
1970s,1.4,1.411,
1970s,0.9,,
1970s,1.6,0.905,
1970s,1.6,,
1970s,1,1.636,
1970s,1.6,1.608,
1970s,1.4,2.485,
1970s,,1.02,12.6
1970s,,,14
1970s,2.6,,
1970s,,0.62,
1970s,,0.78,11.9
1970s,,,
1970s,1.8,,
1970s,1.5,,
1970s,3.2,,
1970s,1.6,,
1970s,,,8.7
1970s,,,8.2
1970s,,,10.6
1970s,,,10.8
2000s,2.5372,1.10127059,
2000s,1.90855,1.35872,
2000s,4.6519,1.35872,
2000s,3.1414,0.95336,
2000s,3.97642,1.12501333,
2000s,2.2351,1.72,
2000s,3.01323,,10.7376823
2000s,4.65681,1.25216,25.6544154
2000s,1.91751,1.25216,
2000s,3.01323,1.81568,24.4473114
2000s,6.84825,2.00208,
2000s,3.28716,,10.6584122
2000s,4.10895,2.3478,26.8906548
2000s,3.28716,2.18757647,22.48
2000s,8.2179,2.57427692,22.9718585
2000s,5.20467,2.6464,
2000s,3.28716,,15.4035519
2000s,3.28716,1.31448889,29.4644872
2000s,4.38288,1.20269474,
2000s,5.75253,1.66752,29.3511582
2000s,3.83502,1.33465263,
2000s,4.93074,,12.7674161
2000s,6.30039,1.5652,25.8629713
2000s,4.38288,1.25418667,
2000s,3.56109,2.0944,
2000s,6.02646,2.09744,
2000s,3.01323,,11.1762775
2000s,3.01323,2.12195556,25.8555854
2000s,6.57432,1.45408,
2000s,2.7393,2.37717333,
2000s,3.56109,,
2000s,5.72237,1.44842105,17.79075
2000s,2.69288,2.0944,18.15284
2000s,2.69288,1.02992,17.14248
2000s,5.72237,1.15528,16.19955
2000s,3.02949,1.77633684,19.34535
2000s,3.3661,1.7656,18.49168
2000s,3.3661,1.35872,17.92858
2000s,3.70271,3.14008,16.99433
2000s,6.39559,2.08926316,20.7912
2000s,3.70271,1.46984,20.87814
2000s,4.03932,1.56216,20.08182
2000s,2.69288,1.68752,19.0784
2000s,6.7322,3.77141333,20.11185
2000s,4.03932,6.45178182,18.75315
2000s,4.03932,2.72048,17.5134
2000s,2.69288,2.01328,17.3088
2000s,4.03932,1.75493333,
2000s,2.01966,1.34448,16.39195
2000s,2.01966,1.34296,16.3459
2000s,2.01966,1.68752,14.78364
2000s,10.43491,2.39616,23.43737
2000s,7.40542,1.95024,26.22678
2000s,4.71254,1.95024,21.5612
2000s,4.03932,1.57792,21.50111
2000s,3.69696,0.93912,21.0000177
2000s,1.84848,0.95336,19.5703421
2000s,0.61616,1.56216,20.1825261
2000s,2.77272,1.87368,21.212744
2000s,2.77272,1.36024,20.5874498
2000s,2.46464,1.4556,18.7931722
2000s,1.5404,2.90664,19.8072967
2000s,0.92424,1.75136,20.8418126
2000s,4.92928,1.15832,24.3021021
2000s,4.92928,4.28004103,22.3492071
2000s,0.92424,4.92752,21.528909
2000s,2.77272,4.80664615,22.7410009
2000s,3.69696,0.9376,19.19735
2000s,3.69696,1.76712,18.1329535
2000s,0.92424,1.5464,18.3607133
2000s,1.84848,2.07864,21.0429005
2000s,4.00504,1.45408,18.7301727
2000s,,2.71351579,17.3012723
2000s,3.38888,1.7656,16.4071608
2000s,1.23232,1.57944,17.5297779
2000s,4.92928,5.28408,26.3326571
2000s,7.08584,1.98632,25.7272048
2000s,0.61616,2.71896,24.4108497
2000s,4.31312,4.148,27.402696
2000s,1.816,0.699,19.966
2000s,1.513,0.884,20.689
2000s,1.967,0.616,25.218
2000s,1.211,0.79,22.944
2000s,2.421,0.884,19.762
2000s,1.665,0.741,23.998
2000s,2.724,1.068,21.248
2000s,2.421,0.719,22.436
2000s,1.513,1.406,20.803
2000s,2.119,0.988,19.186
2000s,1.513,0.986,19.717
2000s,2.421,0.709,17.535
2000s,1.211,0.977,15.463
2000s,1.665,0.988,15.446
2000s,2.421,4.961,26.453
2000s,2.724,1.069,27.431
2000s,3.329,0.905,29.437
