Variedad,Tipo_muestra,Actividad _enzimatica,Hongos_totales,Bacterias_totales
Sweet globe,Testigo,7.550458716,2.10E+06,7.00E+06
Sweet globe,Testigo,7.321100917,1.60E+06,7.10E+06
Sweet globe,Testigo,8.743119266,2.34E+06,7.11E+06
Sweet globe,Testigo,8.513761468,1.78E+06,7.07E+06
Sweet globe,Testigo,9.844036697,3.00E+06,7.12E+06
Sweet globe,Testigo,9.889908257,2.40E+06,7.13E+06
Sweet globe,Testigo,9.385321101,2.30E+06,7.09E+06
Sweet globe,Testigo,9.385321101,3.10E+06,7.20E+06
Cotton candy,Testigo,8.146788991,2.98E+06,7.05E+06
Cotton candy,Testigo,8.330275229,2.91E+06,7.30E+06
Cotton candy,Testigo,8.055045872,1.99E+06,7.23E+06
Cotton candy,Testigo,8.605504587,2.45E+06,7.17E+06
Cotton candy,Testigo,8.055045872,3.20E+06,7.12E+06
Cotton candy,Testigo,10.34862385,4.00E+06,7.13E+06
Cotton candy,Testigo,9.295122131,2.42E+06,7.18E+06
Cotton candy,Testigo,10.85321101,3.87E+06,7.20E+06
Sweet globe,Tratado,14.56880734,4.55E+06,7.99E+06
Sweet globe,Tratado,10.80733945,4.10E+06,7.56E+06
Sweet globe,Tratado,12,4.36E+06,7.45E+06
Sweet globe,Tratado,15.0733945,4.01E+06,7.82E+06
Sweet globe,Tratado,12.64220183,4.34E+06,7.63E+06
Sweet globe,Tratado,10.88990826,4.21E+06,7.77E+06
Sweet globe,Tratado,10.33944954,4.65E+06,7.32E+06
Sweet globe,Tratado,11.3853211,4.13E+00,7.45E+06
Cotton candy,Tratado,13.05504587,4.13E+06,7.56E+06
Cotton candy,Tratado,13.42201835,4.15E+06,7.80E+06
Cotton candy,Tratado,11.22007722,4.51E+06,7.32E+06
Cotton candy,Tratado,12.45559846,4.78E+06,7.44E+06
Cotton candy,Tratado,12.8030888,4.78E+06,7.59E+06
Cotton candy,Tratado,15.62162162,4.23E+06,7.62E+06
Cotton candy,Tratado,15.46718147,4.76E+06,7.45E+06
Cotton candy,Tratado,14.26316147,4.32E+06,7.87E+06
