Week,Year,Era,Pond,Artophila,Carex
23,2012,Modern,IBP-J,49.7465,18.875
25,2012,Modern,IBP-J,54.466,42.625
26,2012,Modern,IBP-J,45.6745,35.65
27,2012,Modern,IBP-J,58.6645,58.125
28,2012,Modern,IBP-J,65.98,63
29,2012,Modern,IBP-J,68.0895,70.825
30,2012,Modern,IBP-J,93.0705,76.275
31,2012,Modern,IBP-J,82.818,99.575
32,2012,Modern,IBP-J,105.2855,111.375
33,2012,Modern,IBP-J,103.5,111.325
34,2012,Modern,IBP-J,107.932,91.275
23,2011,Modern,IBP-J,32.75,27.55
25,2011,Modern,IBP-J,57.22,35.1
26,2011,Modern,IBP-J,50.175,52.33333
27,2011,Modern,IBP-J,79.525,71.95
29,2011,Modern,IBP-J,72.16,97.06667
31,2011,Modern,IBP-J,133.425,88.66
32,2011,Modern,IBP-J,201.45,90.86
33,2011,Modern,IBP-J,182.175,92.63333
28,1970,Historic,IBP-J,8.7,
29,1970,Historic,IBP-J,16.5,
31,1970,Historic,IBP-J,7.3,
32,1970,Historic,IBP-J,17,
28,1971,Historic,IBP-J,,42
29,1971,Historic,IBP-J,,65
31,1971,Historic,IBP-J,,126
32,1971,Historic,IBP-J,,116
33,1971,Historic,IBP-J,,72
23,1972,Historic,IBP-J,,9
26,1972,Historic,IBP-J,,14
27,1972,Historic,IBP-J,,35
28,1972,Historic,IBP-J,,40
30,1972,Historic,IBP-J,,40
32,1972,Historic,IBP-J,,71
33,1972,Historic,IBP-J,,92
34,1972,Historic,IBP-J,,109
23,2012,Modern,IBP-10,55.7,
25,2012,Modern,IBP-10,32.311,
26,2012,Modern,IBP-10,49.9655,
27,2012,Modern,IBP-10,86.5645,
28,2012,Modern,IBP-10,190.441,
29,2012,Modern,IBP-10,101.5835,
30,2012,Modern,IBP-10,128.6755,
31,2012,Modern,IBP-10,102.67,
32,2012,Modern,IBP-10,117.1135,
33,2012,Modern,IBP-10,117.0885,
34,2012,Modern,IBP-10,92.071,
23,2011,Modern,IBP-10,54.45,
25,2011,Modern,IBP-10,42.975,
26,2011,Modern,IBP-10,56.5,
27,2011,Modern,IBP-10,75.3,
29,2011,Modern,IBP-10,79.725,
31,2011,Modern,IBP-10,94.375,
32,2011,Modern,IBP-10,153.15,
33,2011,Modern,IBP-10,128.375,
25,1972,Historic,IBP-10,26,
26,1972,Historic,IBP-10,34,
28,1972,Historic,IBP-10,36,
29,1972,Historic,IBP-10,54,
31,1972,Historic,IBP-10,77,
32,1972,Historic,IBP-10,109,
34,1972,Historic,IBP-10,105,
23,2012,Modern,IBP-C,,47.72
25,2012,Modern,IBP-C,,69.6
26,2012,Modern,IBP-C,,63.775
27,2012,Modern,IBP-C,,76.15
28,2012,Modern,IBP-C,,78.45
29,2012,Modern,IBP-C,,85.075
30,2012,Modern,IBP-C,,78.8
31,2012,Modern,IBP-C,,117.325
32,2012,Modern,IBP-C,,108.425
33,2012,Modern,IBP-C,,99.025
34,2012,Modern,IBP-C,,94.4
26,2011,Modern,IBP-C,,89
27,2011,Modern,IBP-C,,95.63333
29,2011,Modern,IBP-C,,139.2333
31,2011,Modern,IBP-C,,164.1
32,2011,Modern,IBP-C,,103.95
33,2011,Modern,IBP-C,,96.8
23,1972,Historic,IBP-C,,12
26,1972,Historic,IBP-C,,29
27,1972,Historic,IBP-C,,51
28,1972,Historic,IBP-C,,65
30,1972,Historic,IBP-C,,88
31,1972,Historic,IBP-C,,102
33,1972,Historic,IBP-C,,85
34,1972,Historic,IBP-C,,66
